id_cliente,nome_cliente,segmento,cidade,uf,data_cadastro,canal_aquisicao,faixa_etaria
C00134,Tiago Rocha,Consumidor,Fortaleza,CE,2021-07-03,Orgânico,18-25
C00135,Gabriela Rocha,PME,Brasília,DF,2020-11-24,Indicação,26-35
C00136,Karina Almeida,Consumidor,Salvador,BA,2021-09-21,Indicação,26-35
C00137,Carla Oliveira,PME,Rio de Janeiro,RJ,2020-08-03,Indicação,36-45
C00138,Diego Rocha,PME,Salvador,BA,2021-01-15,Indicação,46-60
C00139,João Gomes,PME,Curitiba,PR,2021-03-28,Orgânico,60+
C00140,Diego Almeida,Consumidor,Brasília,DF,2021-11-21,Indicação,46-60
C00141,Rafael Silva,PME,Manaus,AM,2021-03-14,Indicação,36-45
C00142,Felipe Pereira,Consumidor,Salvador,BA,2022-11-26,Indicação,46-60
C00143,Quezia Costa,Consumidor,São Paulo,SP,2022-08-31,Indicação,46-60
C00144,Carla Souza,Consumidor,Manaus,AM,2021-04-01,Orgânico,60+
C00145,Nuno Araújo,Consumidor,Fortaleza,CE,2021-01-24,Indicação,46-60
C00146,Sofia Araújo,Consumidor,Curitiba,PR,2021-01-07,Indicação,36-45
C00147,Ana Costa,Consumidor,Manaus,AM,2022-10-07,Orgânico,26-35
C00148,Nuno Lima,PME,Fortaleza,CE,2020-10-29,Orgânico,60+
C00149,Marina Souza,PME,Salvador,BA,2022-09-20,Indicação,46-60
C00150,Diego Martins,Corporativo,Recife,PE,2022-02-09,Orgânico,36-45
C00151,Lucas Oliveira,Consumidor,Fortaleza,CE,2020-08-03,Indicação,18-25
C00152,Karina Ferreira,Consumidor,Curitiba,PR,2020-10-30,Orgânico,26-35
C00153,Gabriela Gomes,Consumidor,Brasília,DF,2021-06-28,Indicação,26-35
C00154,Paulo Barbosa,Consumidor,Rio de Janeiro,RJ,2022-06-04,Mídia Paga,60+
C00155,Tiago Carvalho,Consumidor,Manaus,AM,2021-02-12,Mídia Paga,36-45
C00156,Bruno Gomes,Consumidor,Curitiba,PR,2021-04-06,Indicação,36-45
C00157,João Oliveira,Consumidor,Salvador,BA,2020-08-03,Indicação,18-25
C00158,Sofia Costa,PME,São Paulo,SP,2021-08-29,Orgânico,46-60
C00159,Karina Oliveira,Consumidor,Fortaleza,CE,2022-08-19,Indicação,26-35
C00160,Lucas Gomes,Consumidor,Manaus,AM,2022-06-23,Parceiro,46-60
C00161,Karina Oliveira,Consumidor,Manaus,AM,2022-10-10,Orgânico,60+
C00162,Karina Oliveira,PME,Manaus,AM,2022-07-02,Indicação,26-35
C00163,Tiago Oliveira,Corporativo,Recife,PE,2022-07-23,Orgânico,46-60
C00164,Nuno Melo,PME,Brasília,DF,2022-08-29,Indicação,36-45
C00165,Paulo Costa,Consumidor,Salvador,BA,2020-10-09,Orgânico,26-35
C00166,Quezia Souza,Consumidor,Brasília,DF,2020-07-30,Mídia Paga,60+
C00167,Tiago Lima,Consumidor,Belo Horizonte,MG,2022-05-31,Mídia Paga,18-25
C00168,Olívia Ferreira,Consumidor,Curitiba,PR,2020-10-23,Indicação,36-45
C00169,Sofia Barbosa,Corporativo,Porto Alegre,RS,2021-11-21,Indicação,36-45
C00170,Tiago Pereira,PME,Porto Alegre,RS,2020-09-03,Mídia Paga,18-25
C00171,Quezia Santos,PME,Brasília,DF,2022-08-19,Orgânico,26-35
C00172,Olívia Gomes,Consumidor,Porto Alegre,RS,2020-08-18,Parceiro,46-60
C00173,Carla Gomes,Consumidor,Porto Alegre,RS,2021-11-02,Orgânico,36-45
C00174,João Araújo,Corporativo,Belo Horizonte,MG,2022-10-24,Mídia Paga,26-35
C00175,Carla Silva,PME,Manaus,AM,2022-11-27,Orgânico,26-35
C00176,João Santos,Consumidor,Curitiba,PR,2022-04-03,Orgânico,46-60
C00177,Paulo Moraes,PME,Rio de Janeiro,RJ,2022-08-11,Indicação,60+
C00178,Sofia Rocha,Consumidor,Salvador,BA,2022-03-31,Orgânico,18-25
C00179,Quezia Melo,Consumidor,Brasília,DF,2021-05-24,Indicação,46-60
C00180,Carla Gomes,PME,São Paulo,SP,2021-12-02,Orgânico,18-25
C00181,Bruno Gomes,PME,Salvador,BA,2022-07-19,Indicação,26-35
C00182,Elaine Oliveira,PME,Belo Horizonte,MG,2020-08-24,Mídia Paga,46-60
C00183,Karina Ribeiro,Consumidor,Porto Alegre,RS,2022-10-21,Indicação,60+
C00184,Karina Almeida,Consumidor,São Paulo,SP,2021-01-30,Orgânico,36-45
C00185,Karina Lima,Consumidor,Fortaleza,CE,2021-11-02,Indicação,46-60
C00186,Nuno Moraes,Consumidor,Recife,PE,2022-09-13,Parceiro,26-35
C00187,João Ribeiro,Consumidor,Rio de Janeiro,RJ,2022-01-01,Indicação,46-60
C00188,Nuno Almeida,Consumidor,Salvador,BA,2021-03-13,Indicação,18-25
C00189,Felipe Silva,Consumidor,Salvador,BA,2021-06-25,Orgânico,60+
C00190,Marina Teixeira,PME,Salvador,BA,2021-11-27,Orgânico,26-35
C00191,Carla Teixeira,PME,Salvador,BA,2021-09-04,Orgânico,36-45
C00192,Quezia Martins,Consumidor,Belo Horizonte,MG,2021-07-09,Parceiro,18-25
C00193,Tiago Ribeiro,Consumidor,Fortaleza,CE,2022-04-27,Mídia Paga,46-60
C00194,Karina Gomes,Consumidor,Fortaleza,CE,2022-09-04,Mídia Paga,60+
C00195,Felipe Gomes,Consumidor,Belo Horizonte,MG,2020-12-04,Indicação,18-25
C00196,Sofia Gomes,Corporativo,Salvador,BA,2021-05-14,Indicação,60+
C00197,Marina Araújo,Consumidor,Rio de Janeiro,RJ,2022-01-20,Indicação,46-60
C00198,Quezia Gomes,PME,Fortaleza,CE,2021-08-12,Orgânico,60+
C00199,Quezia Souza,PME,Belo Horizonte,MG,2021-09-15,Mídia Paga,60+
C00200,João Oliveira,Consumidor,Salvador,BA,2021-06-19,Orgânico,60+
C00201,Carla Melo,Consumidor,Manaus,AM,2021-06-04,Indicação,60+
C00202,Sofia Souza,Corporativo,Manaus,AM,2021-12-22,Mídia Paga,18-25
C00203,Gabriela Teixeira,Consumidor,Manaus,AM,2022-03-06,Indicação,18-25
C00204,Marina Ribeiro,Consumidor,Fortaleza,CE,2022-03-27,Indicação,18-25
C00205,Karina Moraes,Consumidor,Fortaleza,CE,2022-05-08,Orgânico,36-45
C00206,Rafael Santos,PME,Salvador,BA,2021-06-23,Orgânico,46-60
C00207,Bruno Ribeiro,Consumidor,Belo Horizonte,MG,2022-08-25,Parceiro,60+
C00208,Karina Costa,Consumidor,Manaus,AM,2020-11-24,Mídia Paga,46-60
C00209,Ana Oliveira,Corporativo,Curitiba,PR,2021-07-11,Parceiro,60+
C00210,Tiago Araújo,Consumidor,Curitiba,PR,2021-07-14,Orgânico,18-25
C00211,Lucas Martins,PME,Curitiba,PR,2020-11-18,Indicação,46-60
C00212,Olívia Cardoso,Consumidor,Recife,PE,2021-07-04,Orgânico,60+
C00213,Lucas Carvalho,PME,Rio de Janeiro,RJ,2021-10-25,Indicação,36-45
C00214,Elaine Carvalho,PME,São Paulo,SP,2022-10-24,Mídia Paga,60+
C00215,Karina Moraes,Consumidor,Brasília,DF,2022-07-12,Orgânico,46-60
C00216,Paulo Teixeira,Corporativo,Brasília,DF,2021-06-05,Orgânico,18-25
C00217,João Silva,Consumidor,Recife,PE,2021-04-14,Indicação,36-45
C00218,Paulo Lima,Corporativo,São Paulo,SP,2021-04-14,Indicação,60+
C00219,Sofia Santos,PME,Porto Alegre,RS,2022-10-31,Orgânico,46-60
C00220,Bruno Pereira,Consumidor,Manaus,AM,2021-08-07,Indicação,60+
C00221,Karina Lima,Consumidor,Brasília,DF,2021-11-12,Indicação,60+
C00222,Paulo Costa,Consumidor,Curitiba,PR,2021-03-18,Parceiro,36-45
C00223,João Costa,Consumidor,Curitiba,PR,2020-10-04,Mídia Paga,46-60
C00224,Diego Teixeira,Consumidor,Curitiba,PR,2022-02-11,Mídia Paga,46-60
C00225,Elaine Ribeiro,PME,Salvador,BA,2020-10-02,Orgânico,18-25
C00226,Rafael Almeida,Consumidor,Porto Alegre,RS,2020-08-07,Parceiro,36-45
C00227,Henrique Souza,Consumidor,Manaus,AM,2022-04-01,Mídia Paga,60+
C00228,Elaine Silva,Consumidor,Fortaleza,CE,2022-08-22,Parceiro,26-35
C00229,Gabriela Ribeiro,Consumidor,Fortaleza,CE,2021-08-01,Orgânico,18-25
C00230,Nuno Lima,Corporativo,São Paulo,SP,2022-06-06,Parceiro,18-25
C00231,João Souza,Corporativo,Fortaleza,CE,2022-05-26,Orgânico,60+
C00232,Paulo Pereira,PME,Brasília,DF,2021-06-14,Mídia Paga,46-60
C00233,Olívia Almeida,Consumidor,Salvador,BA,2022-06-19,Mídia Paga,18-25
C00234,Marina Rocha,PME,Belo Horizonte,MG,2021-03-17,Indicação,18-25
C00235,Karina Ferreira,Consumidor,Belo Horizonte,MG,2021-08-01,Orgânico,46-60
C00236,Isabela Gomes,Consumidor,Manaus,AM,2022-11-21,Mídia Paga,18-25
C00237,Quezia Ribeiro,PME,Belo Horizonte,MG,2021-10-13,Mídia Paga,36-45
C00238,Tiago Gomes,Consumidor,Fortaleza,CE,2020-10-28,Indicação,60+
C00239,Henrique Moraes,Corporativo,Porto Alegre,RS,2020-10-13,Mídia Paga,18-25
C00240,Rafael Melo,Consumidor,Rio de Janeiro,RJ,2022-09-30,Orgânico,60+
C00241,Diego Costa,Consumidor,Brasília,DF,2021-09-06,Mídia Paga,46-60
C00242,Olívia Teixeira,Consumidor,Brasília,DF,2021-10-03,Orgânico,46-60
C00243,Isabela Silva,PME,São Paulo,SP,2021-10-23,Mídia Paga,60+
C00244,Paulo Souza,Consumidor,São Paulo,SP,2022-09-23,Orgânico,26-35
C00245,Marina Barbosa,PME,Recife,PE,2021-11-14,Mídia Paga,46-60
C00246,Felipe Cardoso,Consumidor,Salvador,BA,2022-08-03,Indicação,26-35
C00247,Ana Ribeiro,PME,São Paulo,SP,2020-10-19,Indicação,60+
C00248,Gabriela Santos,Consumidor,Belo Horizonte,MG,2022-02-23,Orgânico,46-60
C00249,Gabriela Oliveira,PME,São Paulo,SP,2022-03-31,Orgânico,18-25
C00250,Olívia Ferreira,Consumidor,São Paulo,SP,2021-10-17,Indicação,18-25
C00251,Sofia Carvalho,Consumidor,Porto Alegre,RS,2020-08-19,Indicação,36-45
C00252,Isabela Souza,Consumidor,Recife,PE,2022-01-29,Indicação,60+
C00253,Paulo Souza,PME,Recife,PE,2021-05-12,Parceiro,46-60
C00254,Rafael Araújo,PME,Recife,PE,2022-05-28,Orgânico,26-35
C00255,Rafael Rocha,Consumidor,Fortaleza,CE,2022-10-04,Parceiro,60+
C00256,Lucas Oliveira,Consumidor,Rio de Janeiro,RJ,2021-08-29,Indicação,26-35
C00257,Bruno Oliveira,Consumidor,Manaus,AM,2021-03-25,Orgânico,60+
C00258,Ana Costa,PME,Salvador,BA,2022-01-26,Parceiro,18-25
C00259,Tiago Costa,PME,Porto Alegre,RS,2020-12-20,Indicação,26-35
C00260,Isabela Gomes,Consumidor,Salvador,BA,2022-01-21,Indicação,46-60
C00261,Karina Costa,Consumidor,Fortaleza,CE,2020-10-14,Indicação,46-60
C00262,Sofia Rocha,Consumidor,Brasília,DF,2021-04-13,Orgânico,26-35
C00263,Rafael Carvalho,Consumidor,Porto Alegre,RS,2021-07-09,Orgânico,46-60
C00264,Elaine Cardoso,Corporativo,Salvador,BA,2022-06-12,Indicação,60+
C00265,Carla Souza,Corporativo,Brasília,DF,2022-10-29,Mídia Paga,46-60
C00266,Olívia Gomes,Consumidor,Porto Alegre,RS,2021-07-03,Orgânico,60+
C00267,Rafael Cardoso,Corporativo,São Paulo,SP,2022-11-26,Indicação,18-25
C00268,Felipe Santos,Consumidor,Recife,PE,2020-08-29,Parceiro,60+
C00269,Lucas Almeida,Consumidor,Brasília,DF,2022-03-19,Mídia Paga,18-25
C00270,Carla Souza,Consumidor,Porto Alegre,RS,2022-01-29,Orgânico,46-60
C00271,Felipe Oliveira,Consumidor,São Paulo,SP,2020-12-13,Indicação,46-60
C00272,Henrique Costa,PME,Brasília,DF,2022-10-20,Parceiro,60+
C00273,Isabela Cardoso,Consumidor,Rio de Janeiro,RJ,2021-01-01,Indicação,18-25
C00274,Marina Oliveira,Consumidor,Belo Horizonte,MG,2020-10-23,Orgânico,60+
C00275,Rafael Carvalho,Consumidor,Recife,PE,2021-01-08,Indicação,26-35
C00276,Diego Rocha,PME,Salvador,BA,2022-10-09,Orgânico,18-25
C00277,Karina Silva,Consumidor,Manaus,AM,2021-10-22,Indicação,46-60
C00278,Marina Oliveira,Consumidor,Manaus,AM,2021-01-25,Mídia Paga,36-45
C00279,Elaine Martins,PME,Rio de Janeiro,RJ,2022-03-03,Mídia Paga,26-35
C00280,Lucas Almeida,PME,Curitiba,PR,2021-09-03,Orgânico,18-25
C00281,Nuno Santos,Consumidor,Brasília,DF,2021-06-26,Orgânico,36-45
C00282,Nuno Martins,Consumidor,São Paulo,SP,2022-02-07,Mídia Paga,60+
C00283,Felipe Martins,Corporativo,Manaus,AM,2021-06-17,Orgânico,36-45
C00284,Paulo Oliveira,Consumidor,Recife,PE,2022-01-30,Indicação,26-35
C00285,Olívia Santos,PME,Manaus,AM,2022-05-16,Orgânico,18-25
C00286,Karina Rocha,Corporativo,Salvador,BA,2021-09-08,Mídia Paga,60+
C00287,Karina Lima,Consumidor,Porto Alegre,RS,2021-07-30,Parceiro,36-45
C00288,Marina Almeida,Consumidor,Porto Alegre,RS,2022-01-03,Mídia Paga,46-60
C00289,Rafael Lima,Consumidor,Porto Alegre,RS,2021-04-05,Mídia Paga,60+
C00290,Carla Rocha,Consumidor,Curitiba,PR,2020-08-03,Mídia Paga,26-35
C00291,Nuno Martins,PME,Belo Horizonte,MG,2020-11-30,Orgânico,60+
C00292,Bruno Gomes,Consumidor,Recife,PE,2021-05-25,Mídia Paga,60+
C00293,Henrique Gomes,Consumidor,Rio de Janeiro,RJ,2020-10-06,Orgânico,60+
C00294,Nuno Santos,Consumidor,Salvador,BA,2020-09-08,Orgânico,36-45
C00295,Sofia Ferreira,Consumidor,Brasília,DF,2021-04-17,Indicação,46-60
C00296,Diego Ribeiro,Consumidor,São Paulo,SP,2021-07-26,Indicação,18-25
C00297,João Carvalho,Consumidor,Belo Horizonte,MG,2021-12-11,Indicação,26-35
C00298,Carla Ribeiro,Consumidor,Fortaleza,CE,2022-01-10,Orgânico,18-25
C00299,Felipe Ferreira,Consumidor,Rio de Janeiro,RJ,2021-01-08,Indicação,60+
C00300,Felipe Lima,Consumidor,Recife,PE,2021-02-26,Indicação,46-60
C00301,Sofia Rocha,Consumidor,Porto Alegre,RS,2021-08-29,Indicação,26-35
C00302,Rafael Lima,Consumidor,Rio de Janeiro,RJ,2020-09-05,Indicação,26-35
C00303,Karina Moraes,Consumidor,Fortaleza,CE,2021-06-10,Indicação,46-60
C00304,Sofia Oliveira,Consumidor,Curitiba,PR,2021-03-13,Mídia Paga,36-45
C00305,Elaine Melo,Consumidor,Belo Horizonte,MG,2021-11-15,Indicação,60+
C00306,Felipe Araújo,Consumidor,Belo Horizonte,MG,2021-05-13,Orgânico,26-35
C00307,Ana Araújo,Consumidor,São Paulo,SP,2021-11-30,Orgânico,46-60
C00308,Olívia Araújo,Corporativo,Recife,PE,2020-12-05,Orgânico,60+
C00309,Isabela Ferreira,Consumidor,Curitiba,PR,2022-10-30,Indicação,26-35
C00310,Sofia Santos,PME,Brasília,DF,2022-08-09,Orgânico,60+
C00311,Olívia Cardoso,PME,São Paulo,SP,2020-10-15,Orgânico,46-60
C00312,Isabela Gomes,Consumidor,São Paulo,SP,2021-08-29,Mídia Paga,18-25
C00313,Sofia Gomes,Consumidor,Porto Alegre,RS,2022-05-02,Mídia Paga,60+
